user_id,secs_elapsed,timestamp_first_active,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination
0035hobuyj,5410613,20140102222454.0,FEMALE,47.0,basic,0.0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US
00s1ecz3b2,492667,20140102051104.0,MALE,47.0,basic,0.0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US
039664pl26,1293531,20140102205915.0,FEMALE,25.0,basic,0.0,en,sem-non-brand,google,linked,Web,Mac Desktop,Safari,US
03jbozytmd,577495,20140107235032.0,MALE,27.0,basic,23.0,en,direct,direct,omg,Android,Windows Desktop,IE,other
03qbeknjp1,3550037,20140102212824.0,-unknown-,47.0,basic,0.0,nl,direct,direct,untracked,Web,Mac Desktop,Safari,other
04kwlgm6ke,2305071,20140106055308.0,FEMALE,49.0,facebook,0.0,en,direct,direct,untracked,Web,Windows Desktop,IE,US
058h6gp2af,968265,20140107233200.0,MALE,35.0,basic,0.0,en,direct,direct,linked,Web,Windows Desktop,Firefox,US
07uj7rw2h7,2001378,20140102043322.0,-unknown-,31.0,basic,0.0,en,direct,direct,linked,Web,Windows Desktop,Chrome,FR
09305vitud,5746760,20140103052611.0,MALE,27.0,basic,0.0,en,direct,direct,linked,Web,Desktop (Other),Chrome,other
0axhxz1wuv,1318764,20140106001405.0,FEMALE,29.0,basic,0.0,en,other,other,linked,Web,iPad,Mobile Safari,US
0cyihyw891,583168,20140106045151.0,-unknown-,47.0,basic,0.0,en,direct,direct,untracked,Web,Mac Desktop,Safari,GB
0e9rascg0c,226145,20140101184913.0,-unknown-,47.0,basic,0.0,zh,direct,direct,untracked,Web,Windows Desktop,IE,US
0gwnjqum9m,919320,20140102003328.0,MALE,27.0,facebook,12.0,en,api,other,untracked,iOS,iPhone,Mobile Safari,AU
0hd0eohy12,2911192,20140105220144.0,-unknown-,34.0,basic,0.0,en,direct,direct,untracked,Web,Windows Desktop,Firefox,US
0hiz56zwb3,984917,20140103221350.0,MALE,30.0,facebook,12.0,en,api,other,untracked,iOS,Mac Desktop,Chrome,US
0k9eckjoem,1832817,20140106171849.0,FEMALE,25.0,basic,0.0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US
0l461nxs9e,739170,20140102003350.0,FEMALE,22.0,facebook,0.0,en,sem-brand,google,omg,Web,Mac Desktop,Chrome,GB
0lbc1mjaoy,979538,20140103190852.0,MALE,32.0,basic,0.0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
0m18zx9bvp,1135574,20140105062331.0,FEMALE,32.0,facebook,0.0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,US
0mj2n4z537,4233374,20140103024901.0,MALE,37.0,basic,0.0,en,direct,direct,linked,Web,Mac Desktop,Firefox,US
0myopkoqkf,267735,20140106025844.0,FEMALE,24.0,basic,0.0,en,direct,direct,linked,Web,Windows Desktop,Firefox,US
0mz4757sl1,900650,20140106010318.0,MALE,28.0,basic,0.0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,FR
0nby31atfq,21750,20140104152423.0,MALE,26.0,facebook,12.0,en,api,other,linked,iOS,Windows Desktop,Chrome,CA
0nj9omrii9,28234,20140104221858.0,-unknown-,47.0,basic,0.0,en,sem-brand,google,omg,Web,Windows Desktop,Firefox,US
0p80c9ndgr,857767,20140106132602.0,-unknown-,47.0,basic,0.0,en,direct,direct,linked,Web,Windows Desktop,Firefox,US
0scti3n4ep,959462,20140104015234.0,-unknown-,25.0,basic,0.0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US
0teb2f9sxu,3249108,20140102220638.0,MALE,28.0,facebook,0.0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US
0tgasvhj3j,21226,20140107074602.0,MALE,26.0,facebook,12.0,en,api,other,untracked,iOS,Windows Desktop,IE,US
0tiqwh4ui7,2798572,20140104004850.0,FEMALE,25.0,basic,0.0,en,seo,google,linked,Web,Desktop (Other),Chrome,US
0wg9imuufa,1741904,20140106011607.0,MALE,47.0,basic,0.0,en,sem-non-brand,google,omg,Web,Mac Desktop,Chrome,ES
0z0gmgc0t8,253382,20140105052955.0,FEMALE,46.0,basic,0.0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US
0zltwue43l,1874295,20140102211450.0,FEMALE,27.0,basic,0.0,en,seo,google,linked,Web,Windows Desktop,Chrome,US
11581i5wng,174141,20140101020334.0,-unknown-,47.0,basic,0.0,en,direct,direct,linked,Web,Mac Desktop,Chrome,FR
11kpjxindg,896111,20140103042627.0,-unknown-,37.0,basic,0.0,en,content,google,tracked-other,Web,iPhone,Mobile Safari,ES
147uaz8yva,570784,20140102001629.0,-unknown-,47.0,basic,0.0,en,direct,direct,omg,Web,Mac Desktop,Safari,US
14zggaolhw,2296402,20140103023124.0,-unknown-,47.0,basic,0.0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,other
19nngdz1zx,666,20140105223142.0,-unknown-,47.0,basic,0.0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,US
1c84juoz9l,24227,20140108000144.0,MALE,26.0,facebook,0.0,en,direct,direct,omg,Web,Mac Desktop,Safari,US
1f8empz57p,1058445,20140103173723.0,-unknown-,31.0,basic,0.0,en,direct,direct,linked,Web,Mac Desktop,Safari,US
1g18fjgi2m,1976503,20140101040203.0,FEMALE,35.0,basic,0.0,en,sem-brand,google,omg,Web,Windows Desktop,Chrome,US
1g19lpvnq2,2159827,20140106065236.0,MALE,28.0,basic,23.0,en,direct,direct,untracked,Android,Other/Unknown,-unknown-,US
1h4ughstd3,83220,20140103082030.0,-unknown-,31.0,basic,0.0,en,sem-brand,google,omg,Web,Mac Desktop,Chrome,other
1kfcy5ap89,22293,20140106234858.0,FEMALE,29.0,basic,0.0,en,seo,facebook,untracked,Web,Mac Desktop,Chrome,other
1lox83p90z,901641,20140102223336.0,MALE,30.0,basic,0.0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US
1tkb8vully,2782401,20140102010148.0,MALE,29.0,facebook,0.0,en,direct,direct,untracked,Web,Mac Desktop,Safari,AU
1y9ji3q9bg,20976,20140106202908.0,-unknown-,47.0,basic,25.0,en,direct,direct,untracked,iOS,iPhone,Mobile Safari,US
1z9xnhiw44,3887843,20140103034437.0,-unknown-,27.0,basic,0.0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,US
1zbp81udfr,4135176,20140103010320.0,-unknown-,47.0,basic,0.0,en,sem-brand,google,untracked,Web,Mac Desktop,Safari,US
22pptt6qq6,373593,20140106055410.0,MALE,47.0,basic,0.0,en,sem-brand,google,omg,Web,Mac Desktop,Chrome,US
27g5f7wkyt,1867450,20140105020543.0,-unknown-,36.0,basic,24.0,en,direct,direct,product,Moweb,iPad,Mobile Safari,US
28fe5l5bax,1610805,20140107082156.0,MALE,27.0,basic,0.0,en,direct,direct,untracked,Web,Android Tablet,BlackBerry Browser,US
29tsz5d7l0,6440499,20140104211910.0,-unknown-,47.0,basic,0.0,en,seo,google,linked,Web,Mac Desktop,Safari,FR
2dki9pbssk,901787,20140103215634.0,FEMALE,26.0,basic,0.0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,other
2esnaz4q4q,1875737,20140106200721.0,-unknown-,47.0,basic,0.0,en,other,other,tracked-other,Web,Windows Desktop,-unknown-,other
2feubapwj2,3876463,20140107041117.0,MALE,25.0,facebook,0.0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
2pw9yjm8aq,1092193,20140101091423.0,-unknown-,47.0,basic,0.0,en,seo,google,linked,Web,Windows Desktop,Chrome,other
2r3sw3rzss,896124,20140104234834.0,FEMALE,31.0,basic,0.0,en,direct,direct,linked,Web,Mac Desktop,Firefox,US
2sm70493bx,794319,20140105165424.0,-unknown-,30.0,basic,0.0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,FR
2tpyj8s9wh,566831,20140103063003.0,MALE,43.0,basic,12.0,en,api,other,untracked,Android,Other/Unknown,-unknown-,other
2u476hc4t6,2249825,20140104000604.0,FEMALE,32.0,facebook,0.0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US
2vxv32sfib,6798664,20140102025241.0,-unknown-,45.0,basic,23.0,en,direct,direct,untracked,Android,Other/Unknown,-unknown-,US
30c7hyczt6,1632969,20140104205710.0,FEMALE,32.0,basic,0.0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,US
33jwb3h14j,1202203,20140103203651.0,MALE,33.0,basic,0.0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US
33u4tktbcq,3522806,20140102045605.0,-unknown-,42.0,basic,0.0,de,sem-non-brand,google,omg,Web,Windows Desktop,Firefox,US
347izv10nf,1856624,20140103181428.0,-unknown-,47.0,basic,0.0,en,direct,direct,untracked,Web,Windows Desktop,Firefox,US
374nydc45d,1575726,20140107040314.0,FEMALE,29.0,basic,25.0,en,direct,direct,omg,iOS,Mac Desktop,Chrome,US
37k03z52d8,495997,20140106064555.0,MALE,45.0,basic,0.0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
37p6yvgtst,552383,20140107162432.0,FEMALE,47.0,facebook,12.0,en,api,other,untracked,Moweb,Windows Desktop,IE,US
38140vb3be,3174875,20140105092243.0,MALE,30.0,facebook,0.0,en,direct,direct,linked,Web,Mac Desktop,Safari,US
38qq48xb9m,1801201,20140107215547.0,-unknown-,47.0,basic,0.0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US
3ad866qncb,4764120,20140107031120.0,MALE,30.0,basic,0.0,en,seo,google,linked,Web,Windows Desktop,Chrome,other
3ax32yaz5f,1582998,20140103221529.0,-unknown-,47.0,basic,0.0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US
3b1okctsey,793662,20140102041828.0,-unknown-,26.0,basic,0.0,en,sem-brand,google,omg,Web,iPad,Mobile Safari,US
3c79dixc6d,1341717,20140106190846.0,-unknown-,47.0,basic,0.0,en,direct,direct,omg,Web,iPhone,Mobile Safari,FR
3cqcz2zsu1,226713,20140102234558.0,MALE,28.0,facebook,0.0,en,direct,direct,tracked-other,Web,Mac Desktop,Chrome,US
3d904vjqk3,2952258,20140103184220.0,FEMALE,27.0,basic,24.0,en,direct,direct,untracked,Moweb,Other/Unknown,-unknown-,US
3egtu34lgp,28335,20140106103346.0,MALE,37.0,facebook,12.0,en,api,other,untracked,iOS,iPad,Mobile Safari,US
3ehyb3nuas,695764,20140107025201.0,FEMALE,31.0,facebook,12.0,en,api,other,untracked,Moweb,iPhone,Mobile Safari,US
3faqght3pq,192705,20140102231153.0,MALE,26.0,facebook,0.0,en,other,padmapper,tracked-other,Web,Windows Desktop,Chrome,US
3hq3of3tsm,920435,20140107011302.0,FEMALE,25.0,facebook,0.0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US
3hy9yi6hi8,3945244,20140103045458.0,MALE,21.0,basic,0.0,zh,direct,direct,linked,Web,Mac Desktop,Safari,US
3k4ghos61u,2449600,20140105174947.0,MALE,29.0,facebook,0.0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US
3n3wz1i5y6,442439,20140101185416.0,-unknown-,47.0,basic,0.0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
3owcvt6691,845415,20140104213442.0,-unknown-,47.0,basic,0.0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
3q27i9zrym,1543016,20140107160524.0,MALE,44.0,basic,0.0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US
3sqt92yj9y,1094404,20140103003323.0,-unknown-,47.0,basic,0.0,en,direct,direct,untracked,Web,Windows Desktop,Firefox,US
3u5nf8fwgu,438847,20140102193758.0,FEMALE,25.0,basic,0.0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US
3y4vvnxqji,4743443,20140107202125.0,FEMALE,23.0,basic,0.0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,other
3y9yb83i2r,1553386,20140105051331.0,-unknown-,47.0,basic,0.0,en,direct,direct,omg,Web,Mac Desktop,Safari,other
3yzvbremi9,5384779,20140107223801.0,FEMALE,25.0,basic,0.0,en,direct,direct,linked,Web,Mac Desktop,Safari,US
408hxntaon,6233141,20140105223746.0,-unknown-,23.0,basic,0.0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US
40hhgle95c,3948781,20140105002628.0,-unknown-,47.0,basic,0.0,en,direct,direct,untracked,Web,Desktop (Other),Chrome,FR
40woh5mvk0,1792805,20140106200902.0,FEMALE,30.0,basic,0.0,en,direct,direct,linked,Web,Mac Desktop,Safari,US
45oq5vh8i0,325334,20140104030304.0,MALE,40.0,facebook,0.0,en,sem-brand,google,omg,Web,Windows Desktop,Chrome,US
46l68emabb,2038315,20140102193850.0,MALE,30.0,basic,0.0,en,direct,direct,untracked,Web,Windows Desktop,IE,US
4b869yqa9q,21259,20140104164404.0,MALE,33.0,facebook,12.0,en,api,other,untracked,iOS,Mac Desktop,Chrome,US
4cgolfx94c,12759498,20140107222934.0,MALE,23.0,facebook,0.0,en,direct,direct,tracked-other,Web,Mac Desktop,Safari,other
4dw8k5vt1t,625902,20140106153023.0,MALE,43.0,basic,0.0,en,direct,direct,linked,Web,Windows Desktop,Firefox,US
4dxyj7lsz1,810125,20140103231927.0,MALE,39.0,basic,0.0,en,seo,google,untracked,Web,Windows Desktop,Chrome,US
4et0h6osci,1390701,20140105064205.0,-unknown-,47.0,basic,0.0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,FR
4eth9uqi5f,1112889,20140107023524.0,-unknown-,25.0,basic,25.0,en,direct,direct,untracked,iOS,iPhone,-unknown-,NL
4g7f9pouor,1839598,20140102234927.0,-unknown-,40.0,basic,0.0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
4i84im56h2,2974341,20140103052118.0,FEMALE,24.0,basic,0.0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US
4ia85y7ig3,995219,20140107223741.0,-unknown-,47.0,basic,0.0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
4ii2dkrpxg,310986,20140106200853.0,-unknown-,47.0,basic,0.0,en,direct,direct,untracked,Web,Mac Desktop,Safari,other
4jas6k2quy,235934,20140107221628.0,-unknown-,44.0,basic,0.0,en,sem-brand,google,omg,Web,Mac Desktop,Firefox,US
4jwxx7u8ru,420156,20140103192307.0,-unknown-,47.0,basic,0.0,en,direct,direct,linked,Web,Windows Desktop,IE,US
4kudo9dfjj,1166621,20140103192455.0,-unknown-,47.0,basic,0.0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US
4n32dm2435,700830,20140101064120.0,MALE,42.0,basic,0.0,en,other,facebook-open-graph,linked,Web,Mac Desktop,Safari,US
4qsl8533nl,8368175,20140104194754.0,FEMALE,49.0,basic,0.0,en,direct,direct,untracked,Web,Windows Desktop,IE,US
4rvqpxoh3h,23531,20140101002619.0,-unknown-,47.0,basic,25.0,en,direct,direct,untracked,iOS,iPhone,-unknown-,GB
4s77hvknx8,699253,20140107022316.0,MALE,27.0,basic,0.0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US
4ucpnk94cz,1040695,20140104052436.0,MALE,47.0,basic,0.0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US
4ve5jwxdzc,537312,20140104193748.0,-unknown-,47.0,basic,0.0,en,direct,direct,untracked,Web,Windows Desktop,Firefox,US
4wvo0rl1we,313929,20140103053433.0,MALE,49.0,basic,0.0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
500e6w4snv,2226232,20140106072940.0,-unknown-,47.0,basic,0.0,en,direct,direct,untracked,Web,Windows Desktop,Firefox,other
50p8ha8a7k,653605,20140105190817.0,-unknown-,45.0,basic,23.0,en,direct,direct,untracked,Android,Other/Unknown,-unknown-,US
56il3dlb84,652880,20140103032742.0,MALE,32.0,basic,0.0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US
56k2j81zv6,3604552,20140103051412.0,FEMALE,25.0,basic,0.0,en,sem-brand,google,omg,Web,Mac Desktop,Firefox,US
582gyoxj87,473520,20140105085943.0,-unknown-,26.0,basic,0.0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US
5a3hvqtar8,21835,20140106182626.0,FEMALE,48.0,basic,0.0,en,sem-brand,google,omg,Web,Windows Desktop,IE,other
5a6y1g8fh0,927718,20140107152801.0,-unknown-,37.0,basic,0.0,en,direct,direct,omg,Web,Mac Desktop,Safari,US
5dvutjdf9w,1791874,20140102200512.0,-unknown-,47.0,basic,0.0,en,direct,direct,linked,Web,Windows Desktop,Chrome,other
5gbsdgtl2g,21353,20140107010623.0,FEMALE,38.0,facebook,12.0,en,api,other,untracked,iOS,Mac Desktop,Safari,US
5h20mkq2t4,1323401,20140107071253.0,MALE,29.0,facebook,0.0,en,other,padmapper,tracked-other,Web,Mac Desktop,Chrome,US
5ijxpqg0lq,2874134,20140102223958.0,FEMALE,28.0,facebook,12.0,en,api,other,untracked,Moweb,Mac Desktop,Safari,US
5lufs1wqyp,8498900,20140106205627.0,FEMALE,29.0,basic,0.0,en,sem-brand,google,omg,Web,iPad,Mobile Safari,US
5roni7wj51,817189,20140104235922.0,FEMALE,47.0,facebook,12.0,en,api,other,untracked,Moweb,iPhone,Mobile Safari,US
5ruww624w4,3075432,20140106183636.0,MALE,29.0,basic,0.0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US
5uaho7q4p2,1492762,20140104155039.0,FEMALE,27.0,facebook,0.0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
5uwyw7310u,2400436,20140104223733.0,FEMALE,26.0,basic,0.0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,other
5v00ftnhc5,1288957,20140102021003.0,FEMALE,29.0,basic,0.0,en,sem-brand,google,linked,Web,iPad,Mobile Safari,CA
5w9q3iy9t4,2386078,20140107193522.0,-unknown-,47.0,basic,0.0,en,seo,facebook,linked,Web,Mac Desktop,Chrome,other
5wwpj3ww32,216128,20140106162710.0,FEMALE,20.0,basic,0.0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US
5xjo6t0ij9,3344544,20140103181802.0,FEMALE,30.0,basic,0.0,en,direct,direct,linked,Web,Mac Desktop,Safari,US
62a73e8jj3,821424,20140105173721.0,-unknown-,47.0,basic,0.0,en,seo,google,linked,Web,iPad,Mobile Safari,US
666wgdcp76,38787,20140102200757.0,MALE,41.0,basic,0.0,en,sem-brand,google,omg,Web,Windows Desktop,Chrome,other
6a8qu91udg,203343,20140105233058.0,FEMALE,30.0,basic,0.0,en,seo,facebook,linked,Web,Mac Desktop,Firefox,US
6bcievxopy,3579680,20140103053443.0,FEMALE,32.0,basic,0.0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US
6efta2fnvv,1846817,20140102074915.0,FEMALE,32.0,basic,0.0,en,sem-brand,google,linked,Web,Windows Desktop,Firefox,other
6eha38jnc0,3818704,20140106093344.0,FEMALE,33.0,basic,25.0,en,direct,direct,omg,iOS,iPad,Mobile Safari,US
6ftq75m15j,3407232,20140107201936.0,FEMALE,47.0,basic,0.0,en,direct,direct,linked,Web,Windows Desktop,Firefox,US
6gd93t74mc,508264,20140106220015.0,FEMALE,45.0,basic,0.0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US
6ghzgyjfrf,4395359,20140101195600.0,FEMALE,45.0,facebook,0.0,en,direct,direct,linked,Web,Mac Desktop,Safari,IT
6i6vq5w7z8,937019,20140102042327.0,MALE,38.0,basic,25.0,en,direct,direct,linked,iOS,Mac Desktop,Safari,US
6kgs23kjyd,1423894,20140104011234.0,FEMALE,42.0,basic,0.0,en,direct,direct,linked,Web,iPad,Mobile Safari,IT
6ltrfnhek8,428200,20140107185525.0,FEMALE,31.0,basic,0.0,en,direct,direct,linked,Web,Mac Desktop,Safari,other
6nz67fi511,3383936,20140102062923.0,-unknown-,32.0,basic,25.0,en,direct,direct,linked,iOS,Windows Desktop,Chrome,US
6o7zzxw6o9,114403,20140102235115.0,-unknown-,47.0,basic,0.0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,other
6ogl9oncji,1534440,20140102203933.0,-unknown-,47.0,basic,0.0,en,direct,direct,untracked,Web,Mac Desktop,Safari,FR
6p5y5o0jbx,729622,20140104054339.0,-unknown-,47.0,basic,0.0,en,direct,direct,untracked,Web,Windows Desktop,Firefox,FR
6ta9qrmubq,1282931,20140104161503.0,MALE,25.0,basic,0.0,de,direct,direct,product,Web,Windows Desktop,Firefox,US
6twxu3ezjl,633912,20140102035346.0,-unknown-,47.0,basic,0.0,en,direct,direct,linked,Web,Mac Desktop,Safari,FR
6uaqr6npkj,322216,20140107183324.0,-unknown-,40.0,basic,0.0,en,direct,direct,untracked,Web,Mac Desktop,Safari,DE
6v6qhpij0q,3366256,20140103233911.0,FEMALE,30.0,basic,0.0,en,direct,direct,linked,Web,Mac Desktop,Firefox,other
6vzs36wcxl,1676428,20140105112335.0,FEMALE,36.0,basic,0.0,zh,direct,direct,linked,Web,Android Tablet,IE,US
